,LSTM,GRU,BILSTM
0,0.46946947545427636,0.2551743090644805,0.29855409272245526
1,0.052788299729221874,0.08408220680958602,0.03378011542852469
2,0.054919707500039765,0.00977621857698265,0.017703564594542972
3,0.03276797277509648,0.03873770154306615,0.01092981472137365
4,0.04541820466768035,0.01741269064260666,0.026593899906711346
5,0.052591270065059904,0.05076504079865042,0.033059454950283174
6,0.017666949257770667,0.03273946970245758,0.03207642478465112
7,0.003769252117430388,0.03823490087759018,0.04134879846212253
8,0.03168583187945523,0.04614008070310559,0.03078885043169535
9,0.02006274151520386,0.06544373009144448,0.02442123154484302
10,0.03212858568282904,0.048196650388621795,0.04035054738741349
11,0.017557131349752397,0.018985894891510226,0.026034348739728753
12,0.011656057935978584,0.04083993081147447,0.025112245145455462
13,0.022629832667682665,0.029360060700690662,0.027911746368285018
14,0.026653154982378725,0.007122403568199346,0.0456927877193144
15,0.0005727656183826746,0.020683203026809555,0.05095862736865475
16,0.023294169766645095,0.044787278125235405,0.011491567912372309
17,0.02866580372750663,0.013009373409152702,0.03412514798566411
18,0.03073610711336309,0.022890144899084242,0.011632415761849507
19,0.020361929773065002,0.01703719429624658,0.026249023402810635
20,0.04158909575768852,0.045774034216649565,0.014913944894755162
21,0.04707902395730531,0.019571473625771815,0.043071575858870274
22,0.015992848377509195,0.00939251038848336,0.07037324662627556
23,0.03411614551141705,0.035013445177758784,0.018206400172688913
24,0.06234350435666202,0.017952962628788958,0.028158672274565612
25,0.029763919875006546,0.05011489348619284,0.04702385923988426
26,0.04720140645309284,0.02524827489000505,0.0034855438387933545
27,0.01911808904404416,0.025154998818815676,0.0518336978671381
28,0.06902662436621859,0.030570567478413798,0.03215828998321571
29,0.04150255602909271,0.014828656894903746,0.04145625066948267
30,0.03707927441195652,0.04510427325587124,0.013909216077587827
31,0.055172025901445466,0.04719331616100125,0.0010339361600477017
32,0.021839361905465957,0.022795342672832272,0.008956396066704909
33,0.031151201645603654,0.026476133297936816,0.014737932388334698
34,0.03909530132029628,0.04297895356232646,0.0010067969422605004
35,0.03627139918437736,0.024562650088181228,0.037833852665834895
36,0.02965348241874737,0.030071239269709997,0.02923989657087002
37,0.06587607195101601,0.024106982571838576,0.01756125226372027
38,0.05177073536642356,0.053139206874136306,0.03394562698247814
39,0.029293095351547272,0.01481152982295001,0.017813895286550533
